,source_dataset,target_model,target_dataset,target_balancing,baseline_f1
0,bing,alexnet,bing,20/80,0.85978717
1,bing,alexnet,bing,30/70,0.8755803
2,bing,alexnet,bing,40/60,0.89912707
3,bing,alexnet,bing,50/50,0.9075462
4,bing,resnet,bing,20/80,0.91457754
5,bing,resnet,bing,30/70,0.92541564
6,bing,resnet,bing,40/60,0.94259524
7,bing,resnet,bing,50/50,0.95242864
8,bing,vgg,bing,20/80,0.915923
9,bing,vgg,bing,30/70,0.92736894
10,bing,vgg,bing,40/60,0.9466471
11,bing,vgg,bing,50/50,0.9494949
12,bing,alexnet,google,20/80,0.8236786
13,bing,alexnet,google,30/70,0.8527828
14,bing,alexnet,google,40/60,0.8966862
15,bing,alexnet,google,50/50,0.86965704
16,bing,resnet,google,20/80,0.893578
17,bing,resnet,google,30/70,0.9218825
18,bing,resnet,google,40/60,0.93134326
19,bing,resnet,google,50/50,0.9398195
20,bing,vgg,google,20/80,0.90367615
21,bing,vgg,google,30/70,0.9335919
22,bing,vgg,google,40/60,0.9431705
23,bing,vgg,google,50/50,0.94135493
24,google,alexnet,bing,20/80,0.8178998
25,google,alexnet,bing,30/70,0.84286356
26,google,alexnet,bing,40/60,0.8691099
27,google,alexnet,bing,50/50,0.8616004
28,google,resnet,bing,20/80,0.8879707
29,google,resnet,bing,30/70,0.90943396
30,google,resnet,bing,40/60,0.9183477
31,google,resnet,bing,50/50,0.92697763
32,google,vgg,bing,20/80,0.89385474
33,google,vgg,bing,30/70,0.9116369
34,google,vgg,bing,40/60,0.9231527
35,google,vgg,bing,50/50,0.91602266
36,google,alexnet,google,20/80,0.82180285
37,google,alexnet,google,30/70,0.8295302
38,google,alexnet,google,40/60,0.8803127
39,google,alexnet,google,50/50,0.81270534
40,google,resnet,google,20/80,0.89207965
41,google,resnet,google,30/70,0.91593355
42,google,resnet,google,40/60,0.928
43,google,resnet,google,50/50,0.9279188
44,google,vgg,google,20/80,0.904356
45,google,vgg,google,30/70,0.92899406
46,google,vgg,google,40/60,0.934005
47,google,vgg,google,50/50,0.92787725
